user_id,item_id,rating
1,1,5
2,1,3
3,1,3
4,1,5
5,1,5
6,1,3
7,1,3
8,1,2
9,1,1
10,1,4
11,1,1
12,1,4
13,1,1
14,1,1
15,1,1
16,1,1
17,1,2
18,1,4
19,1,1
20,1,5
21,1,3
22,1,3
23,1,1
24,1,3
25,1,4
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,3
32,1,1
33,1,2
34,1,4
35,1,2
36,1,5
37,1,2
38,1,4
39,1,1
40,1,3
41,1,1
42,1,3
43,1,3
44,1,1
45,1,1
46,1,1
47,1,5
48,1,5
49,1,4
50,1,3
51,1,1
52,1,3
53,1,5
54,1,4
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,4
61,1,3
62,1,3
63,1,2
64,1,2
65,1,1
66,1,2
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,2
73,1,2
74,1,2
75,1,3
76,1,3
77,1,3
78,1,1
79,1,3
80,1,3
81,1,1
82,1,4
83,1,2
84,1,1
85,1,4
86,1,3
87,1,3
88,1,3
89,1,4
90,1,5
91,1,4
92,1,4
93,1,3
94,1,2
95,1,2
96,1,4
97,1,1
98,1,1
99,1,3
100,1,3
101,2,3
102,2,5
103,2,5
104,2,4
105,2,4
106,2,5
107,2,4
108,2,4
109,2,5
110,2,2
111,2,4
112,2,4
113,2,5
114,2,4
115,2,5
116,2,5
117,2,5
118,2,5
119,2,5
120,2,5
121,2,5
122,2,2
123,2,3
124,2,5
125,2,2
126,2,2
127,2,3
128,2,5
129,2,5
130,2,5
131,2,4
132,2,3
133,2,4
134,2,4
135,2,4
136,2,5
137,2,3
138,2,4
139,2,5
140,2,5
141,2,4
142,2,3
143,2,5
144,2,5
145,2,4
146,2,4
147,2,4
148,2,4
149,2,5
150,2,3
151,2,4
152,2,4
153,2,5
154,2,4
155,2,4
156,2,4
157,2,4
158,2,4
159,2,3
160,2,4
161,2,4
162,2,4
163,2,4
164,2,5
165,2,4
166,2,5
167,2,4
168,2,3
169,2,5
170,2,5
171,2,5
172,2,3
173,2,5
174,2,5
175,2,5
176,2,5
177,2,5
178,2,5
179,2,5
180,2,5
181,2,5
182,2,5
183,2,4
184,2,5
185,2,5
186,2,5
187,2,5
188,2,5
189,2,4
190,2,4
191,2,5
192,2,4
193,2,4
194,2,4
195,2,4
196,2,4
197,2,4
198,2,5
199,3,2
200,3,1
201,3,3
202,3,2
203,3,2
204,3,1
205,3,1
206,3,1
207,3,3
208,3,5
209,3,5
210,3,1
211,3,1
212,3,1
213,3,2
214,3,1
215,3,3
216,3,2
217,3,5
218,3,5
219,3,5
220,3,5
221,3,1
222,3,3
223,3,1
224,3,4
225,3,1
226,3,3
227,3,2
228,3,3
229,3,1
230,3,1
231,3,3
232,3,1
233,3,4
234,3,1
235,3,1
236,3,2
237,3,2
238,3,3
239,3,4
240,3,4
241,3,4
242,3,1
243,3,1
244,3,2
245,3,3
246,3,4
247,3,1
248,3,1
249,3,2
250,3,1
251,3,1
252,3,1
253,3,1
254,3,3
255,3,1
256,3,1
257,3,2
258,3,1
259,3,1
260,3,5
261,3,3
262,3,2
263,3,4
264,3,4
265,3,4
266,3,3
267,3,1
268,3,3
269,3,2
270,3,4
271,3,1
272,3,2
273,3,5
274,3,4
275,3,1
276,3,5
277,3,5
278,3,1
279,3,1
280,3,1
281,3,1
282,3,1
283,3,5
284,3,5
285,3,1
286,3,1
287,3,1
288,3,1
289,3,5
290,3,5
291,3,2
292,3,5
293,3,2
294,3,4
295,3,2
296,3,3
297,3,1
298,3,1
299,4,4
300,5,4
301,5,3
302,5,4
303,5,5
304,5,4
305,5,4
306,5,2
307,5,4
308,5,4
309,5,4
310,5,4
311,5,4
312,5,4
313,5,4
314,5,4
315,5,4
316,5,5
317,5,4
318,5,4
319,5,3
320,5,3
321,5,5
322,5,5
323,5,4
324,5,5
325,5,5
326,5,4
327,5,5
328,5,5
329,5,4
330,5,4
331,5,5
332,5,4
333,5,5
334,5,5
335,5,3
336,5,4
337,5,4
338,5,5
339,5,5
340,5,4
341,5,4
342,5,4
343,5,5
344,5,4
345,5,4
346,5,4
347,5,2
348,5,4
349,5,4
350,5,2
351,5,3
352,5,4
353,5,5
354,5,4
355,5,4
356,5,3
357,5,2
358,5,3
359,5,3
360,5,5
361,5,5
362,5,4
363,5,3
364,5,5
365,5,4
366,5,1
367,5,4
368,5,5
369,5,5
370,5,4
371,5,4
372,5,4
373,5,4
374,5,2
375,5,5
376,5,3
377,5,4
378,5,2
379,5,3
380,5,2
381,5,5
382,5,5
383,5,4
384,5,4
385,5,2
386,5,5
387,5,5
388,5,4
389,5,3
390,5,4
391,5,4
392,5,4
393,5,4
394,5,4
395,5,5
396,5,5
397,5,5
398,5,3
399,5,4
400,6,5
401,7,4
402,7,5
403,7,4
404,7,5
405,7,5
406,7,5
407,7,5
408,7,3
409,7,5
410,7,5
411,7,4
412,7,4
413,7,3
414,7,5
415,7,4
416,7,5
417,7,5
418,7,4
419,7,3
420,7,5
421,7,4
422,7,3
423,7,5
424,7,5
425,7,5
426,7,4
427,7,5
427,7,5
428,7,2
429,7,3
430,7,3
431,7,3
432,7,3
433,7,3
434,7,4
435,7,4
436,7,4
437,7,5
438,7,4
439,7,4
440,7,5
441,7,4
442,7,4
443,7,5
444,7,3
445,7,4
446,7,5
447,7,4
448,7,4
449,7,4
450,7,3
451,7,5
452,7,5
453,7,4
454,7,5
455,7,5
456,7,4
457,7,2
458,7,3
459,7,4
460,7,5
461,7,5
462,7,4
463,7,5
464,7,5
465,7,4
466,7,5
467,7,5
468,7,5
469,7,3
470,7,4
471,7,5
472,7,5
473,7,5
474,7,5
475,7,5
476,7,3
477,7,4
478,7,5
479,7,4
480,7,4
481,7,5
482,7,4
483,7,4
484,7,4
485,7,4
486,7,4
487,7,5
488,7,5
489,7,4
490,7,5
491,7,5
492,7,1
493,7,4
494,7,5
495,7,4
496,7,5
497,7,4
498,7,4
499,7,5
500,8,3
303,8,1
501,8,2
502,8,1
503,8,2
504,8,4
505,8,4
506,8,4
507,8,5
508,8,5
509,8,4
510,8,5
511,8,4
512,8,5
513,8,3
119,8,1
514,8,5
515,8,5
516,8,4
517,8,4
518,8,5
519,8,4
520,8,5
521,8,5
522,8,5
523,8,5
524,8,4
525,8,5
526,8,4
527,8,5
528,8,4
529,8,3
530,8,5
531,8,5
532,8,5
533,8,4
534,8,4
535,8,4
536,8,3
537,8,4
538,8,5
539,8,5
540,8,4
541,8,3
542,8,4
543,8,4
544,8,1
545,8,4
546,8,2
547,8,4
548,8,4
549,8,5
550,8,5
551,8,4
552,8,4
553,8,5
554,8,3
555,8,4
556,8,2
557,8,5
558,8,4
559,8,5
560,8,5
378,8,5
561,8,5
562,8,5
563,8,4
564,8,4
565,8,4
566,8,5
567,8,4
568,8,4
569,8,4
570,8,5
571,8,4
572,8,5
573,8,4
574,8,5
575,8,5
576,8,4
577,8,3
578,8,4
579,8,5
580,8,4
581,8,5
582,8,1
583,8,2
584,8,4
585,8,3
586,8,4
587,8,5
588,8,3
589,8,5
590,8,5
591,8,5
592,8,3
593,8,4
594,8,3
595,8,5
596,8,3
597,9,5
598,9,4
599,9,4
600,9,5
601,9,3
602,9,5
603,9,2
604,9,4
605,9,4
606,9,5
607,9,3
608,9,4
609,9,1
610,9,5
611,9,2
612,9,5
613,9,4
614,9,4
615,9,3
616,9,4
617,9,2
618,9,4
619,9,4
620,9,4
621,9,4
622,9,2
623,9,3
624,9,2
625,9,2
626,9,3
627,9,5
628,9,2
629,9,5
630,9,3
631,9,4
632,9,5
633,9,4
634,9,5
635,9,4
636,9,1
637,9,2
638,9,3
639,9,1
640,9,3
641,9,4
642,9,2
643,9,3
644,9,5
645,9,4
646,9,4
647,9,5
648,9,4
649,9,5
650,9,4
651,9,4
652,9,4
653,9,5
654,9,4
655,9,5
656,9,4
657,9,3
658,9,5
659,9,2
660,9,3
661,9,4
